epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1573.98,0.81305,0.67561,1.05293,0.91733,0.84241,0.92252,0.74922,0.79585,0.51751,0.97042,0.00012892,0.00012892,0.00012892
43,1609.27,0.84716,0.70645,1.06052,0.91726,0.84758,0.9251,0.75645,0.78354,0.5066,0.96304,0.000126771,0.000126771,0.000126771
44,1644.56,0.8366,0.67593,1.0574,0.92286,0.86193,0.93113,0.76603,0.77183,0.48574,0.95676,0.000124623,0.000124623,0.000124623
45,1679.91,0.83068,0.67574,1.05419,0.92548,0.85851,0.93168,0.76902,0.7682,0.48115,0.95218,0.000122475,0.000122475,0.000122475
46,1715.32,0.83496,0.66766,1.04628,0.92729,0.84653,0.9289,0.75991,0.77443,0.49462,0.95459,0.000120326,0.000120326,0.000120326
47,1749.95,0.81098,0.65556,1.04421,0.92939,0.85407,0.93473,0.77039,0.75435,0.47377,0.94797,0.000118178,0.000118178,0.000118178
48,1785.1,0.79865,0.64106,1.03688,0.92294,0.8669,0.93362,0.76916,0.75745,0.46891,0.94544,0.00011603,0.00011603,0.00011603
49,1819.93,0.80476,0.6397,1.04071,0.92898,0.85715,0.93389,0.77205,0.75269,0.46776,0.94425,0.000113882,0.000113882,0.000113882
50,1854.83,0.78819,0.62255,1.03404,0.92821,0.86654,0.94013,0.77743,0.74495,0.45769,0.9412,0.000111733,0.000111733,0.000111733
51,1889.96,0.77744,0.61542,1.03119,0.92659,0.87442,0.94032,0.78033,0.73751,0.44958,0.9347,0.000109585,0.000109585,0.000109585
52,1924.92,0.78195,0.61738,1.03289,0.93421,0.86866,0.9395,0.78797,0.73249,0.43726,0.93353,0.000107437,0.000107437,0.000107437
53,1960.07,0.77734,0.60671,1.02754,0.93567,0.88019,0.94293,0.78807,0.73078,0.43596,0.9303,0.000105288,0.000105288,0.000105288
54,1995.11,0.7735,0.60255,1.02542,0.93402,0.87486,0.9423,0.78569,0.72609,0.45147,0.92794,0.00010314,0.00010314,0.00010314
55,2029.79,0.76961,0.59974,1.0235,0.93853,0.87631,0.94536,0.7896,0.72234,0.4331,0.92665,0.000100992,0.000100992,0.000100992
56,2064.95,0.77974,0.59762,1.02639,0.9436,0.88901,0.94959,0.79788,0.71358,0.4228,0.92174,9.88435e-05,9.88435e-05,9.88435e-05
57,2100.04,0.77533,0.58938,1.02089,0.93968,0.88886,0.94921,0.80258,0.70466,0.41696,0.91591,9.66952e-05,9.66952e-05,9.66952e-05
58,2135.11,0.75703,0.58425,1.02053,0.93303,0.90318,0.94934,0.80125,0.70494,0.4194,0.91894,9.45469e-05,9.45469e-05,9.45469e-05
59,2170,0.75518,0.57622,1.02016,0.93424,0.89854,0.9516,0.80404,0.70473,0.41309,0.91746,9.23986e-05,9.23986e-05,9.23986e-05
60,2204.84,0.75669,0.57866,1.01642,0.95313,0.89382,0.95285,0.8089,0.69329,0.40445,0.91238,9.02503e-05,9.02503e-05,9.02503e-05
61,2239.88,0.757,0.57326,1.01433,0.93174,0.90543,0.95236,0.80896,0.69133,0.40096,0.90735,8.8102e-05,8.8102e-05,8.8102e-05
62,2275.04,0.74491,0.56111,1.01146,0.94401,0.90301,0.95298,0.8069,0.68981,0.39758,0.90713,8.59537e-05,8.59537e-05,8.59537e-05
63,2309.71,0.7349,0.55787,1.00994,0.94986,0.90651,0.95638,0.81342,0.67876,0.39231,0.90542,8.38054e-05,8.38054e-05,8.38054e-05
64,2344.92,0.75002,0.55516,1.00493,0.95302,0.90719,0.95699,0.81391,0.67398,0.3851,0.90121,8.16571e-05,8.16571e-05,8.16571e-05
65,2379.98,0.74477,0.54868,1.00488,0.95094,0.90822,0.95757,0.8184,0.66892,0.37847,0.90094,7.95088e-05,7.95088e-05,7.95088e-05
66,2415.27,0.72812,0.5421,1.00229,0.95997,0.89711,0.95631,0.81659,0.66677,0.37974,0.89749,7.73605e-05,7.73605e-05,7.73605e-05
67,2449.74,0.72297,0.54395,1.00653,0.95384,0.90794,0.95703,0.8182,0.66902,0.38012,0.8991,7.52122e-05,7.52122e-05,7.52122e-05
68,2484.5,0.72096,0.53217,1.00016,0.95437,0.91312,0.95929,0.82442,0.66012,0.37272,0.89371,7.30639e-05,7.30639e-05,7.30639e-05
69,2519.74,0.70508,0.5172,0.99381,0.96462,0.90881,0.95976,0.82591,0.65589,0.36921,0.89081,7.09156e-05,7.09156e-05,7.09156e-05
70,2555.21,0.72637,0.52457,0.99602,0.95069,0.90912,0.9574,0.82442,0.65324,0.36644,0.88724,6.87673e-05,6.87673e-05,6.87673e-05
71,2589.91,0.72434,0.52601,0.99579,0.96099,0.90704,0.9593,0.82927,0.64684,0.36636,0.88844,6.6619e-05,6.6619e-05,6.6619e-05
72,2624.97,0.70482,0.51824,0.99374,0.94952,0.92237,0.95982,0.82836,0.64524,0.36063,0.88722,6.44707e-05,6.44707e-05,6.44707e-05
73,2659.62,0.70343,0.51226,0.99038,0.95173,0.91655,0.96002,0.83134,0.64291,0.36171,0.88433,6.23224e-05,6.23224e-05,6.23224e-05
74,2694.59,0.69432,0.51475,0.98888,0.95397,0.91379,0.96097,0.83554,0.63132,0.35278,0.87999,6.01741e-05,6.01741e-05,6.01741e-05
75,2729.92,0.70804,0.51452,0.98972,0.9658,0.9161,0.96186,0.83599,0.63074,0.35317,0.88021,5.80258e-05,5.80258e-05,5.80258e-05
76,2764.85,0.70244,0.50649,0.98794,0.9648,0.9214,0.96364,0.83631,0.62689,0.34718,0.87793,5.58775e-05,5.58775e-05,5.58775e-05
77,2800.05,0.69331,0.49942,0.9868,0.96049,0.92335,0.9641,0.83905,0.62389,0.34266,0.87795,5.37292e-05,5.37292e-05,5.37292e-05
78,2835.33,0.69491,0.49843,0.98373,0.96648,0.91507,0.96226,0.83577,0.62682,0.34868,0.87894,5.15809e-05,5.15809e-05,5.15809e-05
79,2869.94,0.68935,0.49458,0.97932,0.96589,0.91307,0.96146,0.83671,0.62231,0.34917,0.87571,4.94326e-05,4.94326e-05,4.94326e-05
80,2904.56,0.69083,0.4936,0.98513,0.96016,0.92122,0.96256,0.8429,0.61196,0.3421,0.87161,4.72843e-05,4.72843e-05,4.72843e-05
81,2939.44,0.68075,0.4831,0.97939,0.9662,0.91915,0.96388,0.84413,0.60982,0.3361,0.86797,4.5136e-05,4.5136e-05,4.5136e-05
82,2974.71,0.67379,0.48219,0.97724,0.96731,0.92161,0.96358,0.846,0.60688,0.33222,0.86807,4.29877e-05,4.29877e-05,4.29877e-05
83,3009.75,0.68258,0.48121,0.97738,0.96895,0.92189,0.96499,0.84626,0.60396,0.33229,0.86472,4.08394e-05,4.08394e-05,4.08394e-05
84,3044.89,0.67926,0.47623,0.97532,0.96537,0.9219,0.96475,0.84851,0.60058,0.32977,0.86794,3.86911e-05,3.86911e-05,3.86911e-05
